Total number of parameters:  4712814
Train mini-batch 1: 0.34620610 | Time: 0.61766s | Current date & Time: 2022-06-17 01:40:34
Train mini-batch 2: 0.31299326 | Time: 0.17498s | Current date & Time: 2022-06-17 01:40:34
Train mini-batch 3: 0.32541779 | Time: 0.17496s | Current date & Time: 2022-06-17 01:40:35
Train mini-batch 4: 0.26608425 | Time: 0.17497s | Current date & Time: 2022-06-17 01:40:35
Train mini-batch 5: 0.23494054 | Time: 0.17497s | Current date & Time: 2022-06-17 01:40:35
Train mini-batch 6: 0.26315275 | Time: 0.17499s | Current date & Time: 2022-06-17 01:40:35
Train mini-batch 7: 0.20192437 | Time: 0.17495s | Current date & Time: 2022-06-17 01:40:36
Train mini-batch 8: 0.25817996 | Time: 0.17494s | Current date & Time: 2022-06-17 01:40:36
Train mini-batch 9: 0.22569433 | Time: 0.17492s | Current date & Time: 2022-06-17 01:40:36
Train mini-batch 10: 0.25818372 | Time: 0.17497s | Current date & Time: 2022-06-17 01:40:36
Train mini-batch 11: 0.23769677 | Time: 0.17499s | Current date & Time: 2022-06-17 01:40:37
Train mini-batch 12: 0.22439000 | Time: 0.17498s | Current date & Time: 2022-06-17 01:40:37
Train mini-batch 13: 0.24018247 | Time: 0.17500s | Current date & Time: 2022-06-17 01:40:37
Train mini-batch 14: 0.19471116 | Time: 0.17597s | Current date & Time: 2022-06-17 01:40:38
Train mini-batch 15: 0.19781634 | Time: 0.17496s | Current date & Time: 2022-06-17 01:40:38
Train mini-batch 16: 0.16567570 | Time: 0.17499s | Current date & Time: 2022-06-17 01:40:38
Train mini-batch 17: 0.21709412 | Time: 0.17489s | Current date & Time: 2022-06-17 01:40:38
Train mini-batch 18: 0.19013551 | Time: 0.17492s | Current date & Time: 2022-06-17 01:40:39
Train mini-batch 19: 0.19089398 | Time: 0.17501s | Current date & Time: 2022-06-17 01:40:39
Train mini-batch 20: 0.22913238 | Time: 0.17495s | Current date & Time: 2022-06-17 01:40:39
Train mini-batch 21: 0.21377985 | Time: 0.17499s | Current date & Time: 2022-06-17 01:40:39
Train mini-batch 22: 0.19494495 | Time: 0.17498s | Current date & Time: 2022-06-17 01:40:40
Train mini-batch 23: 0.18739791 | Time: 0.17491s | Current date & Time: 2022-06-17 01:40:40
Train mini-batch 24: 0.18389216 | Time: 0.17492s | Current date & Time: 2022-06-17 01:40:40
Train mini-batch 25: 0.21990672 | Time: 0.17506s | Current date & Time: 2022-06-17 01:40:40
Train mini-batch 26: 0.19336945 | Time: 0.17501s | Current date & Time: 2022-06-17 01:40:41
Train mini-batch 27: 0.16808257 | Time: 0.17504s | Current date & Time: 2022-06-17 01:40:41
Train mini-batch 28: 0.20138711 | Time: 0.17496s | Current date & Time: 2022-06-17 01:40:41
Train mini-batch 29: 0.13420369 | Time: 0.17498s | Current date & Time: 2022-06-17 01:40:42
Train mini-batch 30: 0.16893627 | Time: 0.17503s | Current date & Time: 2022-06-17 01:40:42
Train mini-batch 31: 0.21785329 | Time: 0.17501s | Current date & Time: 2022-06-17 01:40:42
Train mini-batch 32: 0.15519124 | Time: 0.17497s | Current date & Time: 2022-06-17 01:40:42
Train mini-batch 33: 0.18570197 | Time: 0.17496s | Current date & Time: 2022-06-17 01:40:43
Train mini-batch 34: 0.21580654 | Time: 0.17499s | Current date & Time: 2022-06-17 01:40:43
Train mini-batch 35: 0.21423253 | Time: 0.17494s | Current date & Time: 2022-06-17 01:40:43
Train mini-batch 36: 0.20103994 | Time: 0.17495s | Current date & Time: 2022-06-17 01:40:43
