Total number of parameters:  4967326
Train mini-batch 1: 0.46242821 | Time: 0.57867s | Current date & Time: 2022-06-19 22:23:24
Train mini-batch 2: 0.23937637 | Time: 0.13644s | Current date & Time: 2022-06-19 22:23:24
Train mini-batch 3: 0.36322469 | Time: 0.13665s | Current date & Time: 2022-06-19 22:23:25
Train mini-batch 4: 0.43487376 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:25
Train mini-batch 5: 0.36630866 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:25
Train mini-batch 6: 0.37156051 | Time: 0.13661s | Current date & Time: 2022-06-19 22:23:25
Train mini-batch 7: 0.46197870 | Time: 0.13661s | Current date & Time: 2022-06-19 22:23:26
Train mini-batch 8: 0.33564651 | Time: 0.13659s | Current date & Time: 2022-06-19 22:23:26
Train mini-batch 9: 0.27317339 | Time: 0.13669s | Current date & Time: 2022-06-19 22:23:26
Train mini-batch 10: 0.29783258 | Time: 0.13662s | Current date & Time: 2022-06-19 22:23:26
Train mini-batch 11: 0.45856333 | Time: 0.13664s | Current date & Time: 2022-06-19 22:23:27
Train mini-batch 12: 0.33207572 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:27
Train mini-batch 13: 0.29488176 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:27
Train mini-batch 14: 0.45971462 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:27
Train mini-batch 15: 0.45219541 | Time: 0.13661s | Current date & Time: 2022-06-19 22:23:28
Train mini-batch 16: 0.27035758 | Time: 0.13659s | Current date & Time: 2022-06-19 22:23:28
Train mini-batch 17: 0.17742331 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:28
Train mini-batch 18: 0.25944412 | Time: 0.13664s | Current date & Time: 2022-06-19 22:23:28
Train mini-batch 19: 0.27734953 | Time: 0.13660s | Current date & Time: 2022-06-19 22:23:28
Train mini-batch 20: 0.33250439 | Time: 0.13662s | Current date & Time: 2022-06-19 22:23:29
Train mini-batch 21: 0.28968620 | Time: 0.13667s | Current date & Time: 2022-06-19 22:23:29
Train mini-batch 22: 0.29926708 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:29
Train mini-batch 23: 0.35213637 | Time: 0.13784s | Current date & Time: 2022-06-19 22:23:29
Train mini-batch 24: 0.32305980 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:30
Train mini-batch 25: 0.30466554 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:30
Train mini-batch 26: 0.21469656 | Time: 0.13667s | Current date & Time: 2022-06-19 22:23:30
Train mini-batch 27: 0.35560849 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:30
Train mini-batch 28: 0.37587982 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:30
Train mini-batch 29: 0.23812406 | Time: 0.13661s | Current date & Time: 2022-06-19 22:23:31
Train mini-batch 30: 0.24969962 | Time: 0.13660s | Current date & Time: 2022-06-19 22:23:31
Train mini-batch 31: 0.36636090 | Time: 0.13659s | Current date & Time: 2022-06-19 22:23:31
Train mini-batch 32: 0.28475362 | Time: 0.13662s | Current date & Time: 2022-06-19 22:23:31
Train mini-batch 33: 0.31092581 | Time: 0.13664s | Current date & Time: 2022-06-19 22:23:32
Train mini-batch 34: 0.30566072 | Time: 0.13661s | Current date & Time: 2022-06-19 22:23:32
Train mini-batch 35: 0.36359710 | Time: 0.13668s | Current date & Time: 2022-06-19 22:23:32
Train mini-batch 36: 0.22957392 | Time: 0.13662s | Current date & Time: 2022-06-19 22:23:32
Train mini-batch 37: 0.31260002 | Time: 0.13663s | Current date & Time: 2022-06-19 22:23:33
Train mini-batch 38: 0.34512597 | Time: 0.13662s | Current date & Time: 2022-06-19 22:23:33
Train mini-batch 39: 0.29222858 | Time: 0.13665s | Current date & Time: 2022-06-19 22:23:33
Train mini-batch 40: 0.21409336 | Time: 0.13621s | Current date & Time: 2022-06-19 22:23:33
Train mini-batch 41: 0.28525132 | Time: 0.13617s | Current date & Time: 2022-06-19 22:23:33
Train mini-batch 42: 0.44281498 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:34
Train mini-batch 43: 0.24724382 | Time: 0.13618s | Current date & Time: 2022-06-19 22:23:34
Train mini-batch 44: 0.27589792 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:34
Train mini-batch 45: 0.26670456 | Time: 0.13619s | Current date & Time: 2022-06-19 22:23:34
Train mini-batch 46: 0.24398895 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:35
Train mini-batch 47: 0.21873786 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:35
Train mini-batch 48: 0.27662462 | Time: 0.13614s | Current date & Time: 2022-06-19 22:23:35
Train mini-batch 49: 0.22295737 | Time: 0.13612s | Current date & Time: 2022-06-19 22:23:35
Train mini-batch 50: 0.27168459 | Time: 0.13616s | Current date & Time: 2022-06-19 22:23:35
