Total number of parameters:  895333
Train mini-batch 1: 0.49510401 | Time: 0.61636s | Current date & Time: 2022-06-19 23:48:33
Train mini-batch 2: 0.64194429 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:34
Train mini-batch 3: 0.46796143 | Time: 0.17385s | Current date & Time: 2022-06-19 23:48:34
Train mini-batch 4: 0.43291569 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:34
Train mini-batch 5: 0.36394069 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:34
Train mini-batch 6: 0.43365684 | Time: 0.17389s | Current date & Time: 2022-06-19 23:48:35
Train mini-batch 7: 0.31307223 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:35
Train mini-batch 8: 0.32193777 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:35
Train mini-batch 9: 0.29128438 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:35
Train mini-batch 10: 0.32804829 | Time: 0.17374s | Current date & Time: 2022-06-19 23:48:36
Train mini-batch 11: 0.28072768 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:36
Train mini-batch 12: 0.36109155 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:36
Train mini-batch 13: 0.28352100 | Time: 0.17383s | Current date & Time: 2022-06-19 23:48:37
Train mini-batch 14: 0.30344307 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:37
Train mini-batch 15: 0.27365100 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:37
Train mini-batch 16: 0.27459741 | Time: 0.17375s | Current date & Time: 2022-06-19 23:48:37
Train mini-batch 17: 0.29455441 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:38
Train mini-batch 18: 0.23618068 | Time: 0.17380s | Current date & Time: 2022-06-19 23:48:38
Train mini-batch 19: 0.22474781 | Time: 0.17380s | Current date & Time: 2022-06-19 23:48:38
Train mini-batch 20: 0.24214584 | Time: 0.17376s | Current date & Time: 2022-06-19 23:48:38
Train mini-batch 21: 0.31228840 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:39
Train mini-batch 22: 0.32998079 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:39
Train mini-batch 23: 0.31756693 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:39
Train mini-batch 24: 0.29876614 | Time: 0.17393s | Current date & Time: 2022-06-19 23:48:39
Train mini-batch 25: 0.27270082 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:40
Train mini-batch 26: 0.20384739 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:40
Train mini-batch 27: 0.33924586 | Time: 0.17377s | Current date & Time: 2022-06-19 23:48:40
Train mini-batch 28: 0.22595879 | Time: 0.17375s | Current date & Time: 2022-06-19 23:48:41
Train mini-batch 29: 0.26257151 | Time: 0.17380s | Current date & Time: 2022-06-19 23:48:41
Train mini-batch 30: 0.16814330 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:41
Train mini-batch 31: 0.27535719 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:41
Train mini-batch 32: 0.23784047 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:42
Train mini-batch 33: 0.26098669 | Time: 0.17388s | Current date & Time: 2022-06-19 23:48:42
Train mini-batch 34: 0.28238383 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:42
Train mini-batch 35: 0.25571123 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:42
Train mini-batch 36: 0.21845780 | Time: 0.17389s | Current date & Time: 2022-06-19 23:48:43
Train mini-batch 37: 0.27636552 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:43
Train mini-batch 38: 0.29227191 | Time: 0.17380s | Current date & Time: 2022-06-19 23:48:43
Train mini-batch 39: 0.28834885 | Time: 0.17381s | Current date & Time: 2022-06-19 23:48:43
Train mini-batch 40: 0.25315765 | Time: 0.17373s | Current date & Time: 2022-06-19 23:48:44
Train mini-batch 41: 0.22854125 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:44
Train mini-batch 42: 0.25775334 | Time: 0.17384s | Current date & Time: 2022-06-19 23:48:44
Train mini-batch 43: 0.26417440 | Time: 0.17375s | Current date & Time: 2022-06-19 23:48:45
Train mini-batch 44: 0.23159823 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:45
Train mini-batch 45: 0.21449474 | Time: 0.17379s | Current date & Time: 2022-06-19 23:48:45
Train mini-batch 46: 0.24013518 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:45
Train mini-batch 47: 0.23227435 | Time: 0.17385s | Current date & Time: 2022-06-19 23:48:46
Train mini-batch 48: 0.22282365 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:46
Train mini-batch 49: 0.19695382 | Time: 0.17377s | Current date & Time: 2022-06-19 23:48:46
Train mini-batch 50: 0.30108452 | Time: 0.17382s | Current date & Time: 2022-06-19 23:48:46
Train mini-batch 51: 0.27531725 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:47
Train mini-batch 52: 0.27485824 | Time: 0.17375s | Current date & Time: 2022-06-19 23:48:47
Train mini-batch 53: 0.26503193 | Time: 0.17389s | Current date & Time: 2022-06-19 23:48:47
Train mini-batch 54: 0.24623550 | Time: 0.17378s | Current date & Time: 2022-06-19 23:48:47
Train mini-batch 55: 0.27574006 | Time: 0.17380s | Current date & Time: 2022-06-19 23:48:48
Train mini-batch 56: 0.24665737 | Time: 0.17386s | Current date & Time: 2022-06-19 23:48:48
