Total number of parameters:  1368216
Train mini-batch 1: 0.25316587 | Time: 0.58482s | Current date & Time: 2022-06-19 14:43:25
Train mini-batch 2: 0.22557059 | Time: 0.14774s | Current date & Time: 2022-06-19 14:43:25
Train mini-batch 3: 0.24907240 | Time: 0.14772s | Current date & Time: 2022-06-19 14:43:26
Train mini-batch 4: 0.25267273 | Time: 0.14793s | Current date & Time: 2022-06-19 14:43:26
Train mini-batch 5: 0.22850928 | Time: 0.14810s | Current date & Time: 2022-06-19 14:43:26
Train mini-batch 6: 0.23302162 | Time: 0.14810s | Current date & Time: 2022-06-19 14:43:27
Train mini-batch 7: 0.25687397 | Time: 0.14817s | Current date & Time: 2022-06-19 14:43:27
Train mini-batch 8: 0.25249380 | Time: 0.14816s | Current date & Time: 2022-06-19 14:43:27
Train mini-batch 9: 0.24400854 | Time: 0.14823s | Current date & Time: 2022-06-19 14:43:28
Train mini-batch 10: 0.24168576 | Time: 0.14823s | Current date & Time: 2022-06-19 14:43:28
Train mini-batch 11: 0.22584789 | Time: 0.14817s | Current date & Time: 2022-06-19 14:43:28
Train mini-batch 12: 0.23501463 | Time: 0.14816s | Current date & Time: 2022-06-19 14:43:29
Train mini-batch 13: 0.25263679 | Time: 0.14817s | Current date & Time: 2022-06-19 14:43:29
Train mini-batch 14: 0.24876064 | Time: 0.14811s | Current date & Time: 2022-06-19 14:43:29
Train mini-batch 15: 0.24302213 | Time: 0.14807s | Current date & Time: 2022-06-19 14:43:30
Train mini-batch 16: 0.23380199 | Time: 0.14820s | Current date & Time: 2022-06-19 14:43:30
Train mini-batch 17: 0.26774102 | Time: 0.14814s | Current date & Time: 2022-06-19 14:43:30
Train mini-batch 18: 0.23128919 | Time: 0.14820s | Current date & Time: 2022-06-19 14:43:31
Train mini-batch 19: 0.25358415 | Time: 0.14810s | Current date & Time: 2022-06-19 14:43:31
Train mini-batch 20: 0.24139482 | Time: 0.14822s | Current date & Time: 2022-06-19 14:43:31
Train mini-batch 21: 0.23833038 | Time: 0.14813s | Current date & Time: 2022-06-19 14:43:32
Train mini-batch 22: 0.23881030 | Time: 0.14813s | Current date & Time: 2022-06-19 14:43:32
Train mini-batch 23: 0.22731195 | Time: 0.14816s | Current date & Time: 2022-06-19 14:43:32
Train mini-batch 24: 0.23553036 | Time: 0.14811s | Current date & Time: 2022-06-19 14:43:33
Train mini-batch 25: 0.24075232 | Time: 0.14822s | Current date & Time: 2022-06-19 14:43:33
Train mini-batch 26: 0.19091609 | Time: 0.14827s | Current date & Time: 2022-06-19 14:43:33
Train mini-batch 27: 0.23228920 | Time: 0.14822s | Current date & Time: 2022-06-19 14:43:34
Train mini-batch 28: 0.23909543 | Time: 0.14819s | Current date & Time: 2022-06-19 14:43:34
Train mini-batch 29: 0.24407010 | Time: 0.14819s | Current date & Time: 2022-06-19 14:43:34
Train mini-batch 30: 0.22758354 | Time: 0.14821s | Current date & Time: 2022-06-19 14:43:35
