Total number of parameters:  1368216
Train mini-batch 1: 0.26287252 | Time: 0.58675s | Current date & Time: 2022-06-19 15:27:56
Train mini-batch 2: 0.30276114 | Time: 0.14799s | Current date & Time: 2022-06-19 15:27:57
Train mini-batch 3: 0.27602735 | Time: 0.14762s | Current date & Time: 2022-06-19 15:27:57
Train mini-batch 4: 0.26613808 | Time: 0.14758s | Current date & Time: 2022-06-19 15:27:57
Train mini-batch 5: 0.25940299 | Time: 0.14763s | Current date & Time: 2022-06-19 15:27:58
Train mini-batch 6: 0.23037910 | Time: 0.14759s | Current date & Time: 2022-06-19 15:27:58
Train mini-batch 7: 0.26997846 | Time: 0.14759s | Current date & Time: 2022-06-19 15:27:58
Train mini-batch 8: 0.22108169 | Time: 0.14766s | Current date & Time: 2022-06-19 15:27:59
Train mini-batch 9: 0.20038357 | Time: 0.14765s | Current date & Time: 2022-06-19 15:27:59
Train mini-batch 10: 0.20792109 | Time: 0.14761s | Current date & Time: 2022-06-19 15:27:59
Train mini-batch 11: 0.21188784 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:00
Train mini-batch 12: 0.25989819 | Time: 0.14766s | Current date & Time: 2022-06-19 15:28:00
Train mini-batch 13: 0.20334905 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:00
Train mini-batch 14: 0.22105072 | Time: 0.14771s | Current date & Time: 2022-06-19 15:28:01
Train mini-batch 15: 0.17153636 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:01
Train mini-batch 16: 0.21598360 | Time: 0.14762s | Current date & Time: 2022-06-19 15:28:01
Train mini-batch 17: 0.19068442 | Time: 0.14772s | Current date & Time: 2022-06-19 15:28:02
Train mini-batch 18: 0.21903710 | Time: 0.14768s | Current date & Time: 2022-06-19 15:28:02
Train mini-batch 19: 0.20590433 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:02
Train mini-batch 20: 0.21201071 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:03
Train mini-batch 21: 0.24023919 | Time: 0.14775s | Current date & Time: 2022-06-19 15:28:03
Train mini-batch 22: 0.20843655 | Time: 0.14774s | Current date & Time: 2022-06-19 15:28:03
Train mini-batch 23: 0.22768593 | Time: 0.14770s | Current date & Time: 2022-06-19 15:28:04
Train mini-batch 24: 0.19426957 | Time: 0.14763s | Current date & Time: 2022-06-19 15:28:04
Train mini-batch 25: 0.22228107 | Time: 0.14767s | Current date & Time: 2022-06-19 15:28:04
Train mini-batch 26: 0.19317910 | Time: 0.14765s | Current date & Time: 2022-06-19 15:28:05
Train mini-batch 27: 0.22677675 | Time: 0.14757s | Current date & Time: 2022-06-19 15:28:05
Train mini-batch 28: 0.22161916 | Time: 0.14764s | Current date & Time: 2022-06-19 15:28:05
